# wme_scene_export  D:\Program Files\Slam-Model\data\kitti_05
# 좌표계는 카메라 좌표계. 뷰어가 각 시스템의 추정 포즈로 옮긴다.
# PLANE	frame	nx	ny	nz	d	cx	cy	cz	extent	rms	inliers	conf
# BOX	frame	class	conf	cx	cy	cz	sx	sy	sz
BOX	0	car	0.37382	-5.71470	0.25780	37.28125	2.05627	1.26540	2.74219
BOX	5	car	0.44029	-5.63778	0.77650	30.69141	2.51750	1.82302	4.25781
BOX	10	car	0.55001	-5.13269	0.60058	23.73828	2.61860	1.34287	1.04744
BOX	10	car	0.43391	-5.73204	0.06785	34.52734	1.80671	1.41607	6.00000
BOX	15	truck	0.78770	-5.08937	0.58845	15.19141	2.96484	1.91211	2.79688
BOX	15	car	0.36601	-5.26661	0.18814	46.03906	2.73464	1.69287	6.00000
PLANE	20	0.00000	0.00000	1.00000	25.32031	5.74960	-2.61632	25.32031	2.29721	0.00000	338	0.84500
PLANE	20	0.00061	0.00810	0.99997	16.49956	7.82185	-1.66061	16.50874	5.62678	0.01483	593	0.77125
BOX	20	car	0.90744	-5.04356	0.77058	6.82031	1.52400	1.89054	6.00000
BOX	20	car	0.71534	-6.54210	0.64957	16.46875	4.19235	1.77010	1.67694
BOX	20	car	0.63425	-6.01295	0.81382	11.08984	3.34064	1.47427	5.80469
BOX	20	car	0.62367	-5.71523	0.88103	9.04297	2.76242	1.66257	5.75781
BOX	20	person	0.46733	9.48380	0.42549	14.40234	1.24247	2.24053	6.00000
BOX	20	car	0.33485	-5.99027	0.69114	22.84766	1.26017	1.26017	2.78906
BOX	25	car	0.85108	-6.58254	0.72872	12.30078	3.74021	1.46129	1.94531
BOX	25	car	0.83313	-5.56915	0.74539	7.38281	1.43043	1.82719	6.00000
BOX	25	car	0.61573	-6.47152	0.70372	19.99219	2.60119	1.18750	1.04048
BOX	30	car	0.72248	-6.41207	0.81996	9.29297	2.99650	1.45882	1.38281
BOX	30	car	0.52611	-5.62905	0.59685	15.99219	2.57832	1.56056	5.00781
BOX	30	truck	0.49147	-6.60936	0.06709	34.14062	3.37982	2.07618	6.00000
BOX	30	car	0.40710	-6.02273	0.71265	12.79297	2.35201	1.46548	0.94080
BOX	35	car	0.85864	-6.09813	0.72972	15.00391	2.94947	1.59144	2.10938
BOX	35	car	0.83761	-5.05553	0.81792	7.72266	2.92702	1.74748	1.30469
BOX	35	car	0.51841	-6.33714	0.33697	22.93359	3.47041	1.97846	2.62500
BOX	35	truck	0.43441	-6.42648	0.35187	22.84766	3.55434	1.93873	2.78906
BOX	40	truck	0.69647	-6.80869	0.56149	11.89062	5.14577	2.00113	2.05831
BOX	40	car	0.40703	-6.78346	0.56990	11.89062	5.16259	1.98432	2.06504
PLANE	45	0.00000	0.00000	1.00000	34.52734	0.29345	-3.55891	34.52734	7.35866	0.00000	194	0.48500
PLANE	50	0.00000	0.00000	1.00000	23.73828	-2.84256	-2.78559	23.73828	8.04563	0.00000	500	1.00000
BOX	50	car	0.30179	-6.21680	-0.27326	41.91016	3.91190	1.83741	1.56476
BOX	55	car	0.50133	-5.45684	0.33452	34.33203	3.73865	1.16529	1.49546
BOX	60	car	0.52965	-10.08761	0.40958	27.87500	4.25758	1.69515	3.40625
PLANE	80	0.00000	0.00000	1.00000	42.20312	2.13352	-7.22257	42.20312	4.40957	0.00000	240	0.60000
PLANE	85	0.00000	0.00000	1.00000	34.52734	-0.21772	-5.81998	34.52734	5.50580	0.00000	154	0.38500
BOX	95	car	0.62490	2.42669	0.48698	17.31250	1.81182	1.56698	1.10938
BOX	100	car	0.82188	2.12367	0.59914	9.43750	2.08212	1.57494	1.96094
BOX	105	car	0.89717	3.27780	0.72223	5.84375	3.71076	1.54546	6.00000
BOX	105	car	0.55251	3.49542	0.53318	25.32031	1.82627	1.43236	0.73051
BOX	110	car	0.73587	2.59904	0.79009	18.08594	1.76488	1.38121	1.22656
PLANE	115	-0.00511	-0.01419	0.99989	5.13704	-2.92071	0.70084	5.13264	0.63245	0.01446	1592	0.77564
PLANE	115	0.00000	0.00000	1.00000	33.02734	4.58272	-7.43185	33.02734	2.95142	0.00000	189	0.47250
BOX	115	car	0.82839	2.17289	0.79060	10.77344	1.99595	1.34079	1.36719
BOX	120	car	0.92380	2.80380	0.74739	5.06250	3.31490	1.08110	3.44531
BOX	130	car	0.57141	1.91982	0.28252	25.32031	1.82627	1.50398	0.84375
BOX	135	car	0.87285	2.14556	0.52486	15.86719	1.81765	1.36885	1.46094
BOX	135	person	0.46816	4.40277	0.56158	18.14062	1.15449	2.20635	6.00000
BOX	140	car	0.87038	2.11617	0.79776	7.24219	2.03820	1.47488	2.03906
BOX	140	car	0.63543	2.74923	0.23874	20.12109	1.56509	1.39435	1.50000
BOX	145	car	0.82035	2.42672	0.61076	12.20312	1.70856	1.46695	0.88281
BOX	145	car	0.42225	0.89793	-0.08704	38.21875	1.99987	1.45937	5.06250
BOX	150	car	0.77477	2.05865	0.62577	4.42969	2.08613	1.05246	2.65625
BOX	150	car	0.58378	0.04879	0.58710	31.00391	1.84158	1.35926	4.58594
BOX	155	car	0.62047	-1.23784	0.69678	22.50781	1.78257	1.52791	2.60156
BOX	160	car	0.73593	-2.84138	0.68772	14.78516	1.71461	1.46369	2.42188
BOX	160	car	0.49395	-4.02001	0.43909	34.92578	2.32150	1.28423	6.00000
BOX	165	car	0.86974	-2.55524	0.87211	8.17969	2.01285	1.51542	3.07031
BOX	165	car	0.44333	-5.10756	0.68936	42.79688	3.20784	1.27103	3.66406
BOX	165	truck	0.34067	-0.46243	-0.18363	21.25000	2.55448	3.06538	1.20312
BOX	170	car	0.81871	-3.79827	0.98915	6.33594	3.17204	1.29928	6.00000
BOX	175	car	0.71380	2.99254	0.68164	46.39062	4.65815	2.16505	6.00000
BOX	175	bench	0.30103	2.71352	0.81630	4.46094	0.71921	0.68767	0.39844
PLANE	185	0.00000	0.00000	1.00000	42.20312	-2.85028	-4.65270	42.20312	4.63408	0.00000	287	0.71750
BOX	185	car	0.53343	-1.58148	0.38525	34.52734	4.44354	2.34385	2.79688
BOX	185	train	0.51281	6.69872	-0.00961	11.12891	6.15395	5.68178	6.00000
BOX	185	bus	0.47593	6.71446	-0.00174	11.12891	6.15395	5.69752	6.00000
BOX	185	car	0.45198	3.96074	0.60499	34.52734	4.49237	1.41607	2.02344
PLANE	190	0.00000	0.00000	1.00000	42.20312	-4.34589	-9.61285	42.20312	8.42050	0.00000	499	1.00000
PLANE	190	0.00000	0.00000	1.00000	37.98047	-2.62304	-6.43234	37.98047	7.91984	0.00000	243	0.60750
BOX	190	car	0.78243	-2.74292	0.36729	29.21484	4.58618	1.98321	2.29688
BOX	190	car	0.60445	2.80737	0.72204	29.35938	4.60887	1.37020	2.64844
PLANE	195	0.00000	0.00000	1.00000	29.21484	-1.37638	-2.45301	29.21484	7.06628	0.00000	369	0.92250
PLANE	195	0.00000	0.00000	1.00000	31.65234	3.58618	-4.66373	31.65234	12.89727	0.00000	216	0.54000
BOX	195	car	0.81552	-4.22796	0.51922	23.10547	4.80349	1.96061	2.64844
BOX	195	car	0.73731	1.29630	0.80202	23.73828	4.26361	1.47716	1.71875
PLANE	200	0.00000	0.00000	1.00000	25.32031	-3.82163	-3.82348	25.32031	8.02608	0.00000	321	0.80250
BOX	200	car	0.85567	1.38059	0.73032	17.87500	4.42393	1.51678	2.78906
BOX	200	car	0.84510	-4.28196	0.53595	17.31250	4.84785	1.90976	1.93914
BOX	200	person	0.37779	9.71423	0.37941	23.55469	0.76618	2.29853	6.00000
PLANE	205	0.00000	0.00000	1.00000	18.08594	-3.43575	-1.08853	18.08594	4.06302	0.00000	622	1.00000
PLANE	205	0.00000	0.00000	1.00000	19.99219	-3.59709	-2.68847	19.99219	4.90556	0.00000	506	1.00000
PLANE	205	0.00031	-0.00019	1.00000	12.25689	-1.80200	0.81339	12.25759	2.64901	0.01448	685	0.77539
BOX	205	car	0.86114	2.27469	0.67275	12.55469	4.40334	1.52696	1.82031
BOX	205	car	0.78071	-3.29951	0.50465	12.35156	4.82120	1.85162	1.92848
BOX	210	car	0.92163	4.65914	0.84766	7.59766	4.07233	1.65472	1.90625
BOX	210	car	0.80926	-0.23556	0.58789	9.05859	4.52231	1.97290	1.80892
BOX	215	car	0.89663	2.51489	0.51368	5.16016	4.06483	1.65658	2.75000
BOX	220	car	0.44566	-19.80888	0.85885	42.20312	2.14868	1.49214	1.17188
BOX	225	car	0.58453	-7.20203	0.60381	39.20703	1.99614	1.10897	5.20312
BOX	230	car	0.70155	-4.02070	0.53781	31.98438	1.89982	1.44748	3.14844
BOX	235	car	0.78582	-4.14360	0.49600	23.55469	2.03204	1.53236	3.85156
BOX	235	car	0.49593	4.57015	0.04262	15.94922	2.50373	1.48870	4.07031
BOX	240	car	0.73015	-3.90356	0.73974	14.57422	2.32910	1.56647	3.91406
BOX	240	car	0.39515	4.43538	0.44896	6.62891	2.79372	1.49998	3.32031
BOX	240	car	0.38923	0.00605	-0.03279	37.98047	1.82627	1.55770	0.73051
BOX	245	car	0.93319	-3.65191	0.79745	6.07031	3.03047	1.54528	3.57031
BOX	245	car	0.30223	0.74486	-0.00454	29.07812	1.48045	1.31595	0.82812
BOX	250	car	0.84432	-8.45461	0.99299	12.12891	3.73941	1.64671	6.00000
BOX	250	car	0.66217	1.44070	0.14343	20.74219	1.87741	1.34939	1.96875
BOX	255	car	0.75198	1.82584	0.51120	14.82031	1.76060	1.40429	1.39844
BOX	255	car	0.43499	-2.99749	-0.36254	45.69141	2.00318	1.87395	6.00000
BOX	260	car	0.86845	4.29818	0.55180	9.66016	2.19955	1.48914	1.39844
BOX	260	car	0.68725	6.86759	0.14343	20.74219	1.81874	1.58406	6.00000
BOX	260	car	0.57275	5.82382	-0.44494	41.33984	2.39705	2.04626	3.91406
PLANE	265	0.01856	0.99679	0.07784	1.95118	0.48757	1.42321	6.72515	2.29432	0.01512	2624	0.76785
BOX	265	car	0.69518	26.31376	-0.87362	32.32422	3.24572	2.10286	4.97656
BOX	270	car	0.56688	-9.73848	0.46496	22.84766	1.90642	1.51867	3.16406
BOX	275	car	0.42200	0.09520	0.60828	21.62500	1.77382	1.52915	3.32031
BOX	280	car	0.57538	3.23440	0.67363	16.20703	1.92534	1.62737	3.39844
BOX	280	traffic light	0.32503	8.30442	-1.04402	12.17969	0.37895	0.49953	1.15625
PLANE	285	0.00870	0.01829	0.99979	12.72135	10.05254	-0.56062	12.64679	0.91689	0.01614	304	0.57452
PLANE	285	0.00000	0.00000	1.00000	23.73828	14.14445	-2.57728	23.73828	1.74533	0.00000	217	0.54250
BOX	285	car	0.76979	3.12764	0.78339	9.40625	2.18165	1.59633	4.18750
BOX	285	car	0.68158	5.31505	0.58333	28.66406	2.27013	1.66206	4.46094
PLANE	290	0.00000	0.00000	1.00000	16.51562	11.93813	-2.16352	16.51562	2.45246	0.00000	232	0.58000
BOX	290	car	0.87987	5.90157	1.24114	8.48828	3.13318	1.90872	6.00000
BOX	290	car	0.70471	2.81643	0.59063	19.99219	2.17709	1.52679	4.07031
BOX	295	car	0.87080	2.42576	0.78656	10.51562	2.29024	1.45742	4.09375
PLANE	300	-0.00060	-0.00799	0.99997	10.54479	-5.05511	0.06287	10.54258	2.41156	0.01703	800	0.74588
BOX	300	car	0.74306	2.99044	0.79312	4.77734	2.42552	0.87157	5.75781
BOX	300	truck	0.33632	2.62108	0.57347	13.56641	1.63083	1.68839	1.00000
BOX	305	car	0.87694	2.26841	0.56041	4.66797	2.29077	1.29392	2.71875
BOX	305	car	0.75740	2.29277	0.71709	10.06250	1.59385	1.49424	6.00000
BOX	310	car	0.86288	6.68605	1.71872	9.92969	4.10056	1.67112	6.00000
PLANE	315	0.00141	-0.00443	0.99999	15.81165	-8.15497	-2.13072	15.81389	1.46528	0.01707	763	0.74552
BOX	315	car	0.43006	1.37035	0.50985	31.65234	1.74580	1.20863	1.65625
BOX	325	car	0.79120	2.39963	0.69466	11.19141	2.10504	1.42446	3.72656
BOX	325	car	0.66961	2.36471	0.48881	24.01953	1.86832	1.46069	2.95312
