# wme_scene_export  D:\Program Files\Slam-Model\data\rgbd_dataset_freiburg3_walking_halfsphere
# 좌표계는 카메라 좌표계. 뷰어가 각 시스템의 추정 포즈로 옮긴다.
# PLANE	frame	nx	ny	nz	d	cx	cy	cz	extent	rms	inliers	conf
# BOX	frame	class	conf	cx	cy	cz	sx	sy	sz
PLANE	0	0.08129	-0.08643	0.99294	2.88871	-0.28993	0.27715	2.95712	0.54866	0.01712	1977	0.74497
PLANE	0	0.02646	0.00225	0.99965	2.74431	0.37877	0.12938	2.73496	0.83843	0.01966	855	0.71778
PLANE	0	0.03827	0.00621	0.99925	2.81482	0.50030	-0.00698	2.79782	0.45638	0.02148	732	0.69953
BOX	0	person	0.92395	0.40225	0.41309	1.63900	0.73164	0.55626	1.79000
BOX	0	person	0.92175	-0.65114	0.33334	1.90400	0.68991	0.93929	1.98200
BOX	0	tv	0.89295	-0.59226	0.22528	2.76700	0.43929	0.34382	0.17572
BOX	0	tv	0.88630	0.47289	0.18231	2.56000	0.65028	0.40831	0.26600
BOX	0	mouse	0.70217	-0.29017	0.55847	2.52200	0.08950	0.05613	0.11200
BOX	0	chair	0.58485	0.67850	0.57128	1.60100	0.37678	0.22566	0.34600
BOX	0	keyboard	0.50413	-0.63868	0.53949	2.65900	0.48174	0.09863	0.55400
BOX	0	chair	0.41073	-1.07612	0.63696	1.93600	0.16272	0.38059	0.15200
PLANE	5	0.11644	-0.06438	0.99111	2.93663	-0.24496	0.27354	3.00952	0.56073	0.01884	1258	0.72635
PLANE	5	0.09690	0.10777	0.98944	2.76029	0.63550	0.03819	2.72334	0.61518	0.02021	804	0.71214
PLANE	5	0.08782	0.10199	0.99090	2.82305	0.43101	0.07413	2.80314	0.57400	0.02225	830	0.69201
PLANE	5	-0.01423	0.15298	0.98813	2.54773	0.73642	0.22376	2.55431	0.51094	0.02231	505	0.69146
BOX	5	person	0.91119	-0.55974	0.32648	1.92600	0.64392	0.97157	1.86800
BOX	5	person	0.90901	0.41949	0.41941	1.55000	0.70639	0.46282	1.03800
BOX	5	tv	0.86478	-0.42070	0.20287	2.81200	0.44118	0.35984	0.17647
BOX	5	tv	0.86203	0.62589	0.21792	2.56000	0.66941	0.46053	0.34800
BOX	5	chair	0.76379	-0.98315	0.62402	2.01600	0.21086	0.46736	0.99600
BOX	5	mouse	0.71549	-0.15712	0.53256	2.46700	0.09216	0.05490	0.25200
BOX	5	chair	0.60962	0.71044	0.58470	1.55000	0.29240	0.15523	0.19400
BOX	5	keyboard	0.41196	-0.46321	0.48021	2.54100	0.41290	0.12724	0.55400
PLANE	10	0.20318	-0.07121	0.97655	2.87223	-0.01118	0.22662	2.96005	0.61784	0.01787	2172	0.73667
PLANE	10	-0.02727	0.15850	0.98698	2.53444	0.65885	0.34220	2.53111	0.61878	0.02164	472	0.69792
PLANE	10	0.06663	0.00919	0.99774	2.73655	0.89414	0.19450	2.68126	0.51276	0.02215	598	0.69303
BOX	10	person	0.92140	-0.58403	0.38781	1.94700	0.62185	0.86662	1.14400
BOX	10	person	0.92039	0.42951	0.40238	1.52900	0.75108	0.48490	2.08000
BOX	10	tv	0.80900	0.61633	0.26303	2.56000	0.65984	0.40831	0.34800
BOX	10	mouse	0.77255	-0.16634	0.60119	2.46700	0.10137	0.05490	0.25200
BOX	10	tv	0.69878	-0.42332	0.28892	2.81200	0.44643	0.35463	1.61400
BOX	10	chair	0.51133	-0.96978	0.64625	1.98100	0.28120	0.40046	0.50000
PLANE	15	0.30382	-0.08059	0.94932	2.84019	0.28882	0.18817	2.91537	0.69393	0.01750	2325	0.74078
BOX	15	person	0.94293	0.54089	0.30739	1.52900	0.72252	0.67489	2.07600
BOX	15	person	0.93698	-0.46142	0.41579	2.04000	0.67822	0.88909	1.47000
BOX	15	tv	0.65738	-0.17232	0.22918	2.11600	0.28061	0.25901	1.61200
BOX	15	chair	0.62736	-0.95276	0.71533	2.15600	0.21343	0.41185	2.10400
BOX	15	mouse	0.60429	-0.01439	0.62171	2.48500	0.09283	0.05991	0.33200
BOX	15	keyboard	0.47292	-0.28523	0.57917	2.54100	0.36069	0.09896	0.52800
