# wme_scene_export  D:\Program Files\Slam-Model\data\kitti_07
# 좌표계는 카메라 좌표계. 뷰어가 각 시스템의 추정 포즈로 옮긴다.
# PLANE	frame	nx	ny	nz	d	cx	cy	cz	extent	rms	inliers	conf
# BOX	frame	class	conf	cx	cy	cz	sx	sy	sz
BOX	0	car	0.83182	-4.35914	0.79844	13.01172	2.31862	1.41694	3.95312
BOX	0	car	0.77684	1.07744	0.55499	19.73047	1.98116	1.50680	4.45312
BOX	0	bicycle	0.68998	3.82274	0.87349	9.09766	1.95568	1.28663	1.18750
BOX	0	person	0.59375	2.58991	0.51353	13.50391	0.59203	1.45143	0.29688
BOX	0	car	0.49830	-6.10625	0.31440	37.74609	2.50896	1.70823	6.00000
BOX	0	car	0.36514	-0.17649	0.33909	25.53516	1.73342	1.84176	6.00000
BOX	5	car	0.82495	3.68771	0.64745	18.03125	1.91255	1.45353	2.93750
BOX	5	car	0.80402	-2.51959	0.86434	12.12891	2.22992	1.42372	4.17188
BOX	5	person	0.72354	4.50704	0.60410	12.79297	0.68751	1.46548	0.87500
BOX	5	bicycle	0.70623	5.03550	0.93455	7.19141	2.17647	1.22045	1.03906
BOX	5	car	0.52956	1.89634	0.38945	43.09766	3.41324	1.88947	6.00000
BOX	5	car	0.49896	3.31327	0.49033	23.28516	1.48189	1.71241	6.00000
BOX	5	car	0.47850	-1.07492	0.15235	37.28125	2.37262	2.31989	6.00000
BOX	10	car	0.88417	1.36930	0.92699	10.17969	2.13069	1.42526	3.69531
BOX	10	car	0.83569	9.23636	0.90721	14.13281	2.55837	1.49904	3.06250
BOX	10	car	0.70352	10.73985	0.81748	19.66797	1.72455	1.80800	4.70312
BOX	10	car	0.49107	10.55754	0.87805	33.76172	2.29187	1.48017	6.00000
BOX	10	truck	0.36642	12.05604	0.43273	23.73828	2.55145	2.21573	6.00000
BOX	15	car	0.87877	-4.14356	0.80863	10.23047	2.67665	1.73621	3.03125
BOX	15	car	0.74523	-8.06361	0.82267	14.40234	1.91463	1.36469	5.84375
BOX	15	car	0.58059	-18.29661	0.87460	27.62109	2.38284	1.60158	3.89844
BOX	15	car	0.54387	-20.96930	0.44565	28.93750	1.51421	0.98219	0.82812
BOX	15	car	0.36375	5.16190	1.08093	5.95312	0.15155	0.85034	0.38281
PLANE	20	0.00286	-0.00805	0.99996	6.89677	-3.03515	0.21077	6.90738	1.74656	0.01209	642	0.80529
BOX	20	car	0.87804	1.41394	0.72024	7.03516	2.42766	1.68145	2.44531
BOX	20	car	0.79164	-4.97367	0.69995	16.55859	1.94369	1.54558	1.39844
